Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-TP4,Edge Chromium 120,,,10-01-2024 18:48:38,10-01-2024 18:58:28,"9m - 49,864s",FAILED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-LoginValido,Edge Chromium 120,,,10-01-2024 18:48:38,10-01-2024 18:48:50,"12,038s",PASSED
"openBrowser("""")",Edge Chromium 120,,,10-01-2024 18:48:39,10-01-2024 18:48:42,"3,390s",PASSED
navigateToUrl(url),Edge Chromium 120,,,10-01-2024 18:48:42,10-01-2024 18:48:44,"1,441s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_user-name""), USUARIO)",Edge Chromium 120,,,10-01-2024 18:48:44,10-01-2024 18:48:45,"1,580s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_password""), PASSWORD)",Edge Chromium 120,,,10-01-2024 18:48:45,10-01-2024 18:48:46,"0,724s",PASSED
"click(findTestObject(""Page_Swag Labs/input_login-button""))",Edge Chromium 120,,,10-01-2024 18:48:46,10-01-2024 18:48:47,"0,552s",PASSED
"verifyTextPresent(""Products"", false, CONTINUE_ON_FAILURE)",Edge Chromium 120,,,10-01-2024 18:48:47,10-01-2024 18:48:47,"0,474s",PASSED
delay(3),Edge Chromium 120,,,10-01-2024 18:48:47,10-01-2024 18:48:50,"3,059s",PASSED
closeBrowser(),Edge Chromium 120,,,10-01-2024 18:48:50,10-01-2024 18:48:50,"0,308s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-LoginMsError,Edge Chromium 120,,,10-01-2024 18:48:50,10-01-2024 18:49:30,"39,389s",PASSED
"openBrowser("""")",Edge Chromium 120,,,10-01-2024 18:48:51,10-01-2024 18:48:53,"2,483s",PASSED
navigateToUrl(url),Edge Chromium 120,,,10-01-2024 18:48:53,10-01-2024 18:48:54,"0,546s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_user-name""), USUARIO)",Edge Chromium 120,,,10-01-2024 18:48:54,10-01-2024 18:48:55,"1,726s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_password""), PASSWORD)",Edge Chromium 120,,,10-01-2024 18:48:55,10-01-2024 18:48:56,"0,651s",PASSED
"click(findTestObject(""Page_Swag Labs/input_login-button""))",Edge Chromium 120,,,10-01-2024 18:48:56,10-01-2024 18:48:56,"0,373s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Edge Chromium 120,,,10-01-2024 18:48:56,10-01-2024 18:49:27,"30,072s",PASSED
delay(3),Edge Chromium 120,,,10-01-2024 18:49:27,10-01-2024 18:49:30,"3,016s",PASSED
closeBrowser(),Edge Chromium 120,,,10-01-2024 18:49:30,10-01-2024 18:49:30,"0,233s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-LoginMsVacioUS,Edge Chromium 120,,,10-01-2024 18:49:30,10-01-2024 18:49:41,"10,810s",PASSED
"openBrowser("""")",Edge Chromium 120,,,10-01-2024 18:49:30,10-01-2024 18:49:32,"2,480s",PASSED
navigateToUrl(url),Edge Chromium 120,,,10-01-2024 18:49:32,10-01-2024 18:49:34,"1,643s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_user-name""), USUARIO)",Edge Chromium 120,,,10-01-2024 18:49:34,10-01-2024 18:49:36,"1,728s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_password""), PASSWORD)",Edge Chromium 120,,,10-01-2024 18:49:36,10-01-2024 18:49:36,"0,637s",PASSED
"click(findTestObject(""Page_Swag Labs/input_login-button""))",Edge Chromium 120,,,10-01-2024 18:49:36,10-01-2024 18:49:37,"0,333s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Edge Chromium 120,,,10-01-2024 18:49:37,10-01-2024 18:49:37,"0,550s",PASSED
delay(3),Edge Chromium 120,,,10-01-2024 18:49:37,10-01-2024 18:49:40,"3,017s",PASSED
closeBrowser(),Edge Chromium 120,,,10-01-2024 18:49:40,10-01-2024 18:49:41,"0,313s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-LoginMsVacioPW,Edge Chromium 120,,,10-01-2024 18:49:41,10-01-2024 18:49:51,"10,180s",PASSED
"openBrowser("""")",Edge Chromium 120,,,10-01-2024 18:49:41,10-01-2024 18:49:43,"2,467s",PASSED
navigateToUrl(url),Edge Chromium 120,,,10-01-2024 18:49:43,10-01-2024 18:49:44,"1,044s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_user-name""), USUARIO)",Edge Chromium 120,,,10-01-2024 18:49:44,10-01-2024 18:49:46,"1,734s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_password""), PASSWORD)",Edge Chromium 120,,,10-01-2024 18:49:46,10-01-2024 18:49:47,"0,649s",PASSED
"click(findTestObject(""Page_Swag Labs/input_login-button""))",Edge Chromium 120,,,10-01-2024 18:49:47,10-01-2024 18:49:47,"0,395s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Edge Chromium 120,,,10-01-2024 18:49:47,10-01-2024 18:49:47,"0,507s",PASSED
delay(3),Edge Chromium 120,,,10-01-2024 18:49:47,10-01-2024 18:49:51,"3,004s",PASSED
closeBrowser(),Edge Chromium 120,,,10-01-2024 18:49:51,10-01-2024 18:49:51,"0,268s",PASSED
,,,,,,,
